sampno,latitude,longitude,GEOID,latitude_work,longitude_work,GEOID_work,hh_income,hh_veh,own_home,race,has_children,hhsize,w_travel,wthhfin,comm_id_home,comm_id_work
70001965,41.934541,-87.643024,17031063301,41.886447,-87.619467,17031320100,125000.0,1,False,1,False,2,5,68.9239,6,32.0
70001966,41.827402,-87.624091,17031351400,41.790469,-87.601285,17031836200,82500.0,0,False,1,True,3,5,114.0339,35,41.0
70001970,41.893324,-87.63919,17031081800,41.886447,-87.619467,17031320100,180000.0,1,True,3,False,2,5,139.9782,8,32.0
70001974,41.967431,-87.694068,17031040700,41.875817,-87.617256,17031320400,82500.0,0,True,1,False,2,5,73.6225,4,32.0
70001975,41.921083,-87.70465,17031221200,41.886447,-87.619467,17031320100,180000.0,1,True,1,False,2,5,68.7735,22,32.0
70001978,41.855934,-87.668574,17031310800,41.880986,-87.63307,17031839100,55000.0,1,False,2,False,1,5,107.7881,31,32.0
70002003,42.021256,-87.669832,17031010100,41.965141,-87.676577,17031830800,42500.0,0,False,2,False,1,5,73.6225,1,4.0
70002009,41.965447,-87.663195,17031031700,41.880986,-87.63307,17031839100,82500.0,0,False,1,False,2,5,73.6225,3,32.0
70002013,41.938923,-87.634673,17031063200,41.880986,-87.63307,17031839100,82500.0,1,True,1,False,1,5,68.4569,6,32.0
70002028,41.956798,-87.772044,17031150402,41.893324,-87.63919,17031081800,82500.0,2,False,1,False,2,5,181.0941,15,8.0
70002032,41.934163,-87.712572,17031210602,41.790469,-87.601285,17031836200,82500.0,2,False,1,False,2,5,69.8582,21,41.0
70002037,41.963633,-87.652366,17031031502,42.139902,-87.814597,17031801500,55000.0,0,False,1,False,2,5,73.6225,3,
70002040,41.921246,-87.685098,17031221600,41.880986,-87.63307,17031839100,180000.0,1,True,1,True,4,5,74.0447,22,32.0
70002051,41.965141,-87.676577,17031830800,41.886447,-87.619467,17031320100,42500.0,0,False,1,False,1,5,73.6225,4,32.0
70002069,41.972668,-87.663866,17031031100,41.886447,-87.619467,17031320100,180000.0,1,True,1,False,2,5,74.7144,3,32.0
70002070,41.963374,-87.670184,17031031900,41.880986,-87.63307,17031839100,180000.0,1,True,1,True,3,5,73.6225,3,32.0
70002090,41.970695,-87.713004,17031140200,41.880986,-87.63307,17031839100,125000.0,1,True,1,True,3,5,73.6225,14,32.0
70002096,41.986559,-87.713392,17031130300,41.868458,-87.642965,17031841900,125000.0,3,True,1,False,2,5,78.4731,13,28.0
70002100,41.892275,-87.679398,17031243000,41.880986,-87.63307,17031839100,125000.0,1,True,1,False,2,4,84.3979,24,32.0
70002122,41.988972,-87.654609,17031030601,41.833651,-87.651949,17031839700,55000.0,0,False,1,False,2,5,73.6225,77,60.0
70002127,41.951517,-87.641778,17031060900,41.922726,-87.629526,17031071400,67500.0,0,False,1,False,1,5,68.4132,6,7.0
70002175,41.97806,-87.819734,17031100500,41.878635,-87.642924,17031281900,82500.0,2,False,1,False,3,5,102.7654,10,28.0
70002226,41.859295,-87.615523,17031330100,41.870416,-87.675079,17031838200,125000.0,1,False,1,False,2,5,147.2281,33,28.0
70002227,41.979912,-87.664188,17031030800,42.046455,-87.687728,17031809500,42500.0,1,False,1,False,1,4,374.2682,77,
70002231,41.970286,-87.759852,17031110502,42.105686,-88.054146,17031803702,180000.0,1,True,1,True,3,5,73.6225,11,
70002232,41.972954,-87.772611,17031110400,41.875817,-87.617256,17031320400,180000.0,2,False,1,False,2,5,107.1785,11,32.0
70002250,41.847544,-87.610198,17031841000,41.880986,-87.63307,17031839100,82500.0,1,True,1,False,1,5,68.4195,33,32.0
70002253,41.942699,-87.731002,17031161300,41.875817,-87.617256,17031320400,180000.0,1,True,1,False,2,5,74.334,16,32.0
